LOCATION_NAME,FLAG_TSUNAMI,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,FOCAL_DEPTH,EQ_PRIMARY,MAXIMUM_WATER_HEIGHT, Batyh, DevW5, DevW11, DevW25, DevW75
 TIFU/MASARETE/KAJELI ,0,1905,1,22,1,123,90,8.4,1,42,28,43,160,1234
 TALAUDISLANDS:KARAKELONGISLAND ,0,1907,6,25,1,127,200,7.9,4,2363,123,248,781,2089
 NEWGUINEA:IRIANJAYA:JAPEN ,0,1916,1,13,-3,135.5,16,8.1,0.1,276,167,182,435,587
 NEWGUINEA:IRIANJAYA:JAPEN ,0,1916,1,13,-3,136,30,8.1,0.1,0,0,0,14,131
 NEWGUINEA:IRIANJAYA:JAPEN ,0,1916,9,11,-9,113,100,7.3,0.1,1662,96,222,525,1199
 NEWGUINEA:IRIANJAYA:JAPEN ,0,1917,8,30,-7.5,128,100,7.8,0.1,3941,180,256,812,2436
 NEWGUINEA:IRIANJAYA:JAPEN ,0,1918,11,18,-7,129,190,8.1,0.1,2748,278,483,1962,4385
 S.JAVASEA ,0,1933,6,24,-5.151,104.528,20,7.5,0.1,0,0,0,0,0
 S.JAVASEA ,0,1933,6,25,-5.007,104.501,20,5.8,0.1,0,0,0,0,0
 TALAUDISLANDS ,0,1937,9,27,-9.4,110.2,70,7.2,3,1750,135,257,821,2348
 TALAUDISLANDS ,0,1937,11,6,-3,132.3,33,7.2,3,10,81,104,198,1207
 NEWGUINEA ,0,1943,6,9,-1,101,50,7.6,1,0,0,0,0,0
 NEWGUINEA ,0,1943,7,23,-9.5,110,90,8.1,1,1354,96,173,443,1987
 NEWGUINEA ,0,1943,11,6,-6,134.5,60,7.6,1,0,0,0,39,42
 NEWGUINEA ,0,1944,3,22,-8.5,123.5,220,7.5,1,0,0,108,649,3527
 NEWGUINEA ,0,1948,3,1,-3,127.5,60,7.9,1,1434,319,860,2514,4046
 NEWGUINEA ,0,1950,11,2,-6.5,129.5,60,8.1,1,2450,142,142,644,3423
 NEWGUINEA ,0,1956,7,18,-5.5,130,190,7.5,1,3724,175,352,934,2135
 NEWGUINEA ,0,1957,4,16,-4.6,107.1,600,7.5,1,26,2,2,5,6
 NEWGUINEA:IRIANJAYA ,0,1958,10,20,-9.5,112.5,100,6.7,1.8,3552,106,132,360,1146
 NEWGUINEA:IRIANJAYA ,0,1961,3,16,-8.2,122,74,6.5,1.8,2368,94,316,1233,3650
